userId,movieId,rating,timestamp
173,10,3.0,843397944
173,17,4.0,843398078
173,110,3.0,843397958
173,141,4.0,844086238
173,150,4.0,843397856
174,224,3.0,848487300
174,225,3.0,848487101
174,231,3.0,848486943
174,236,5.0,848487173
174,253,5.0,848487003
174,282,5.0,848487152
174,288,3.0,848487003
174,292,4.0,848486962
174,296,3.0,848486904
174,300,2.0,848487060
174,315,2.0,848487152
174,316,5.0,848486943
174,317,3.0,848487116
174,329,3.0,848486962
174,333,4.0,848487280
174,337,4.0,848487194
174,339,3.0,848487003
174,344,5.0,848486928
174,349,4.0,848486943
174,350,4.0,848487116
174,356,3.0,848486943
174,368,4.0,848487235
174,370,3.0,848487280
174,380,3.0,848486904
174,410,3.0,848487060
174,420,2.0,848487101
174,432,3.0,848487132
174,435,3.0,848487132
174,440,4.0,848487116
174,442,3.0,848487152
174,454,5.0,848487003
174,457,5.0,848486928
174,474,4.0,848487152
175,7259,3.5,1234189558
175,8362,3.5,1234188705
175,8643,4.5,1234189498
175,8911,5.0,1234189764
175,32289,5.0,1234189413
175,33145,3.5,1234189063
175,33880,3.5,1234188574
175,38388,5.0,1234189433
175,39427,0.5,1234189665
175,43904,0.5,1234189741
175,44613,5.0,1234189390
175,45880,4.0,1234188588
175,47382,5.0,1234189512
175,56949,4.0,1234189781
175,58107,4.0,1234189514
176,10,5.0,840108984
176,39,3.0,840108930
176,47,5.0,840109138
176,110,5.0,840108930
176,150,4.0,840108527
176,153,3.0,840108593
176,161,4.0,840108983
176,165,4.0,840108593
176,168,5.0,840108893
176,231,4.0,840108739
176,292,3.0,840108793
176,296,3.0,840108527
176,316,4.0,840108739
176,318,5.0,840108793
176,329,5.0,840108740
176,344,2.0,840108593
176,349,4.0,840108593
176,368,4.0,840109075
176,370,3.0,840108893
176,377,4.0,840108684
177,239,3.0,1435536282
177,246,3.0,1435534768
177,247,3.0,1435891198
177,253,4.0,1435533709
177,256,2.0,1435978177
177,260,2.5,1435524019
177,262,4.0,1435535871
177,296,5.0,1435530409
177,317,4.5,1435534302
177,318,5.0,1435523517
177,337,2.5,1435890667
177,339,4.0,1435533746
177,342,3.0,1435534564
177,344,4.0,1435533575
177,345,3.0,1435534714
177,355,2.0,1435978172
177,356,5.0,1435523542
177,362,4.0,1435535020
177,364,4.0,1435533586
177,367,3.0,1435890503
177,377,3.0,1435533573
177,380,3.0,1435533559
177,410,2.5,1435534208
177,454,2.5,1435890562
177,455,3.0,1435978247
177,480,3.5,1435533530
177,500,5.0,1435890500
177,508,3.5,1435534189
177,520,4.0,1435534369
177,527,4.5,1435523522
177,539,3.5,1435533693
177,1213,4.0,1435536859
177,1214,2.5,1435533611
177,1219,5.0,1435534184
177,1220,3.0,1435534174
177,1221,4.0,1435533674
177,1223,4.0,1435535044
177,1225,3.0,1435534154
177,1235,3.0,1435534931
177,1242,4.0,1435534548
177,1244,4.0,1435534927
177,1247,5.0,1435534239
177,1251,3.0,1435536455
177,1252,4.0,1435536871
177,1256,4.5,1435535509
177,1258,4.0,1435533763
177,1260,2.0,1435535946
177,1265,4.0,1435533604
177,1270,5.0,1435533569
177,1271,4.0,1435534840
177,1274,2.0,1435535036
177,1275,1.5,1435534643
177,1282,4.0,1435534530
177,1283,4.0,1435537041
177,1288,3.5,1435534298
177,1291,3.0,1435533606
177,1298,2.0,1435535292
177,1302,3.0,1435890803
177,1307,3.5,1435534117
177,1321,4.0,1435535058
177,1333,4.0,1435534624
177,1345,3.0,1435534867
177,1348,2.0,1435536091
177,1367,2.5,1435534881
177,1370,3.5,1435534328
177,1377,3.0,1435534533
177,1380,3.5,1435534283
177,1387,3.0,1435534121
177,1393,3.0,1435534107
177,1394,2.0,1435534360
177,1407,4.0,1435534237
177,1408,2.5,1435890813
177,1411,5.0,1435535279
177,1431,2.0,1435536428
177,1499,2.0,1435535370
177,1513,4.5,1435891009
177,1517,3.0,1435533789
177,1527,2.5,1435533706
177,1544,2.5,1435534418
177,1552,2.0,1435534425
177,1566,4.0,1435535623
177,1573,3.5,1435890655
177,1580,3.5,1435890494
177,1588,3.0,1435535917
177,1644,2.5,1435978328
177,1653,3.0,1435534197
177,1682,3.5,1435533734
177,1688,3.0,1435536084
177,1693,3.5,1435535686
177,1704,5.0,1435533692
177,1721,5.0,1435890496
177,1732,3.0,1435890632
177,1801,5.0,1435535354
177,1835,3.0,1435535586
177,1882,2.0,1435535048
177,1892,4.0,1435535873
177,1907,3.0,1435535032
177,1911,3.0,1435535125
177,1923,1.0,1435890587
177,1929,4.0,1435538921
177,1931,4.0,1435539429
177,1936,4.0,1435540591
177,1938,4.0,1435719548
177,1939,5.0,1435536971
177,1945,5.0,1435535454
177,1947,2.0,1435534899
177,1953,2.5,1435534879
177,1955,5.0,1435535665
177,1961,5.0,1435720709
177,1962,4.5,1435534890
177,1968,3.5,1435534080
